Metric,Reference,Local,Difference,Percentage
Size (bytes),72933,64226,-8707,-11.9%
Total tags,1627,1266,-361,
Sections,8,8,0,
IDs,34,34,0,

Tag Type,Reference,Local,Difference
a,139,93,-46
br,8,8,0
button,10,11,1
div,215,197,-18
fieldset,4,3,-1
footer,1,1,0
form,1,2,1
h1,1,1,0
h2,10,10,0
h3,15,11,-4
h4,14,6,-8
header,1,1,0
image,1,1,0
img,12,2,-10
input,18,18,0
label,18,19,1
legend,4,3,-1
li,101,69,-32
main,1,1,0
nav,2,2,0
p,34,14,-20
path,10,10,0
section,4,5,1
small,1,0,-1
span,97,58,-39
strong,1,1,0
svg,49,47,-2
textarea,0,1,1
ul,21,16,-5
use,43,41,-2
